"shoe","height","gender"
39,170,1
40,170,2
37,162,2
38,160,2
38,157,2
42,169,1
39,170,2
38,154,2
36,158,2
39,164,2
38,163,2
39,175,2
37,167,2
40,165,2
43,178,1
37,170,2
42,178,1
37,150,2
36,160,2
37,160,2
38,164,2
45,180,1
41,175,1
35,153,2
45,182,1
42.5,170,1
41,170,1
38,165,2
42,175,1
44,178,1
43,173,1
41,173,1
42,175,1
44,179,1
42,171,1
39,163,2
41,165,1
38,163,2
39,150,2
40,172,1
40,162,2
35,163,2
41,170,2
38,155,2
42,179,1
39,170,2
39,175,1
36,165,2
37,173,2
41,162,2
42.5,170,2
39,170,1
37,176,1
36,166,2
40,160,2
39,166,2
45,180,1
41,174,1
44,185,1
36,160,2
41,173,1
37,159,2
41,166,1
44,176,1
43,180,1
38,165,2
39,165,2
38,160,2
35,150,2
36,150,2
40,172,2
35,162,2
38,164,2
36.5,165,2
37,165,2
36,156,2
37,160,2
39,163,2
36,152,2
39,164,2
38,161,2
36,165,2
42,180,1
41,173,1
37,160,2
39,170,2
35,150,2
45,173,1
37,152,2
42,175,1
44,187,1
40,170,1
39,170,1
37,160,2
